Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,1.0,17.0,1.0,17.0,17.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,6.162379521079859,3.609954821692951,12.578831844357849,0.7107869962784428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,40.0,2.0,23.0,40.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,6.444564121549556,4.523807302228816,14.892816778727136,0.4339427590058468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,55.0,3.0,15.0,55.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,5.372082027351956,3.290894637318891,11.137801685828423,0.6193940407704618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,72.0,4.0,17.0,72.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,3.8701028966093562,3.270072541308888,9.923331866987294,0.005982662057427273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,81.0,5.0,9.0,81.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,3.224065401354734,1.8055626268612668,6.3106520357668385,0.6344330989380148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,102.0,6.0,21.0,102.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,4.120836876355532,3.8808284324851288,11.478788673172845,-0.3715598470211059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,124.0,7.0,22.0,124.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,13.836531534773533,6.565511751669497,23.01700211353013,1.4166070253466887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,138.0,8.0,14.0,138.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,6.952396701872661,3.6327187939027796,12.826708587894752,1.113121115744604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,157.0,9.0,19.0,157.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,9.717131847882532,4.611847906789345,16.938695655651763,1.2727482171414817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,188.0,10.0,31.0,188.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,16.67200187233022,8.315111028752034,29.28738542915201,1.1372862596442086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,201.0,11.0,13.0,201.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,4.932304963884506,2.852807494854594,9.932870348502739,0.7105412979992525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,212.0,12.0,11.0,212.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,3.3071493377403924,1.9818417655746363,6.91463554699037,0.4991920380165129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,245.0,13.0,33.0,245.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,5.471024214184932,4.893841216767363,15.615020321828332,-0.4030061981389668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,255.0,14.0,10.0,255.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,3.621864536400744,2.1833749132010034,7.219781637465878,0.4556503562617686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,280.0,15.0,25.0,280.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,14.859702363262382,7.789179754579218,26.299693392769807,1.2614517348930283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,306.0,16.0,26.0,306.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,4.404004293439066,3.211352122615288,11.202705458379226,0.19195651324650054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,317.0,17.0,11.0,317.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,4.571866858439874,2.2870126167114693,8.360574144601259,0.8061898878400585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,341.0,18.0,24.0,341.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,13.84651066272229,6.213451800705657,22.918050308226,1.3716574856717276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,352.0,19.0,11.0,352.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,2.759190164138209,2.2815568972095117,6.839215164754331,0.06450445852029114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,376.0,20.0,24.0,376.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,2.6687684917322927,2.7794351934579087,9.250942259373467,-0.026554964844324395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,391.0,21.0,15.0,391.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,6.2160730390210475,3.212816702632223,11.635159299241195,0.8919044549965414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,432.0,22.0,41.0,432.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,20.540626535772265,11.3207541298854,37.83364705963936,0.8861102971319834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,455.0,23.0,23.0,455.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,2.7053239160119738,3.137225683569937,9.69189098197064,-0.09075761031161682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,479.0,24.0,24.0,479.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,3.796883204919725,2.740645203977961,10.152889266022704,0.249913656308052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,529.0,25.0,50.0,529.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,10.777421636666233,6.171594319670081,22.591292032246795,0.18333845551193645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,545.0,26.0,16.0,545.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,2.883698225408473,3.1964014867976136,8.938672218861457,-0.4064554814497185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,563.0,27.0,18.0,563.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,5.313348771976883,3.5928402456486874,11.868451939437366,0.26821042429430203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,1.0,584.0,28.0,21.0,584.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,8.336675577218317,5.288637572894259,16.88358940196608,0.35328096351774824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,1.0,603.0,29.0,19.0,603.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,6.121338612356719,3.651769375522628,12.968766980708981,0.7133913489902243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,1.0,626.0,30.0,23.0,626.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,8.609032749795452,5.090066902698868,17.522818656682638,0.5784005691614696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,1.0,648.0,31.0,22.0,648.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,4.839301487109163,4.109784251201032,12.218591414423285,-0.2860665898517514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,1.0,661.0,32.0,13.0,661.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,6.461842054096423,3.3474236243110456,11.803215791322383,1.0322093784731534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
